Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Additional Information,To Apply,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
172053,6,1,1,35,24,1002C,3,10,2,49492,69000,1,17,26,35,24,27,2,23,19,13,1,1,2014-10-21,2018-11-02,2014-10-21,2018-10-16
174736,2,1,1,36,17,22427,5,7,2,65822,96470,1,4,24,36,17,28,7,12,7,3,1,2,2014-11-13,2018-11-02,2014-11-13,2018-10-16
174736,2,2,1,36,17,22427,5,7,2,65822,96470,1,4,24,36,17,28,7,12,7,3,1,2,2014-11-13,2018-11-02,2014-11-13,2018-10-16
175362,5,1,1,37,22,10251,6,13,2,32086,51981,1,18,27,37,22,29,2,24,1,14,1,1,2014-11-18,2018-11-02,2014-11-18,2018-10-16
177048,6,1,1,38,30,13632,6,14,1,81290,95896,1,19,28,38,30,30,2,25,20,15,1,2,2014-12-02,2018-11-02,2014-12-02,2018-10-16
180149,2,1,1,39,17,22427,6,7,2,79457,107720,1,4,5,39,17,31,5,26,4,3,1,2,2015-01-12,2018-11-02,2015-01-12,2018-10-16
180149,2,2,1,39,17,22427,6,7,2,79457,107720,1,4,5,39,17,31,5,26,4,3,1,2,2015-01-12,2018-11-02,2015-01-12,2018-10-16
181317,2,2,1,40,31,81310,1,5,2,38277,55090,1,4,24,40,31,32,19,10,21,3,1,1,2015-01-21,2018-11-02,2015-01-21,2018-10-16
181317,2,1,1,40,31,81310,1,5,2,38277,55090,1,4,24,40,31,32,19,10,21,3,1,1,2015-01-21,2018-11-02,2015-01-21,2018-10-16
181479,5,1,1,41,32,10124,5,2,2,44735,55000,1,20,29,41,32,33,20,27,1,1,1,1,2015-01-16,2018-11-02,2015-01-16,2018-10-16
181479,5,2,1,41,32,10124,5,2,2,44735,55000,1,20,29,41,32,33,20,27,1,1,1,1,2015-01-16,2018-11-02,2015-01-16,2018-10-16
182479,4,1,1,42,33,91619,3,5,2,27772,45632,1,6,30,42,33,34,21,9,1,1,1,3,2015-09-28,2018-11-02,2015-12-08,2018-10-16
182479,4,2,1,42,33,91619,3,5,2,27772,45632,1,6,30,42,33,34,21,9,1,1,1,3,2015-09-28,2018-11-02,2015-12-08,2018-10-16
183112,6,1,1,43,25,13651,1,14,2,45174,62370,1,19,28,43,25,35,2,28,22,15,1,2,2015-02-12,2018-11-02,2015-02-12,2018-10-16
183500,3,1,1,44,22,10251,6,13,2,32086,51981,1,5,31,44,22,36,22,29,1,1,1,1,2015-02-20,2018-11-02,2015-02-20,2018-10-16
184328,6,1,1,45,34,10050,9,14,1,49492,100000,1,19,32,45,34,37,2,30,23,15,1,2,2015-02-19,2018-11-02,2015-02-19,2018-10-16
185056,3,1,5,46,35,30080,5,17,2,38089,53300,1,5,33,46,35,38,23,6,1,1,1,1,2015-03-16,2018-11-02,2015-05-20,2018-10-16
187049,4,1,5,47,36,91650,3,5,2,65458.8,65458.8,1,6,30,47,36,39,24,9,1,1,1,3,2015-04-15,2018-11-02,2015-12-08,2018-10-16
187049,4,2,5,47,36,91650,3,5,2,65458.8,65458.8,1,6,30,47,36,39,24,9,1,1,1,3,2015-04-15,2018-11-02,2015-12-08,2018-10-16
187199,2,2,1,48,9,6772,3,5,2,69417,97893,1,3,9,48,37,40,16,31,8,16,1,1,2015-03-25,2018-11-02,2015-03-25,2018-10-16
187199,2,1,1,48,9,6772,3,5,2,69417,97893,1,3,9,48,37,40,16,31,8,16,1,1,2015-03-25,2018-11-02,2015-03-25,2018-10-16
187714,9,2,1,49,37,13641,1,14,2,72260,98163,1,21,34,49,38,41,25,32,1,1,1,2,2015-03-30,2018-11-02,2015-04-08,2018-10-16
187714,9,1,1,49,37,13641,1,14,2,72260,98163,1,21,34,49,38,41,25,32,1,1,1,2,2015-03-30,2018-11-02,2015-04-08,2018-10-16
189019,2,2,1,50,38,31220,1,8,2,53130,82577,1,4,23,50,39,42,2,4,24,17,1,1,2015-03-31,2018-11-02,2015-04-02,2018-10-16
189019,2,1,1,50,38,31220,1,8,2,53130,82577,1,4,23,50,39,42,2,4,24,17,1,1,2015-03-31,2018-11-02,2015-04-02,2018-10-16
190197,2,1,1,51,39,12627,3,2,2,59536,75568,1,4,35,51,40,43,2,33,1,18,1,1,2015-04-14,2018-11-02,2015-04-14,2018-10-16
190197,2,1,1,51,39,12627,3,2,2,59536,75568,1,4,35,51,40,43,2,33,1,18,1,1,2015-04-14,2018-11-02,2015-04-14,2018-10-16
191317,2,2,1,52,14,20215,1,7,2,59743,86523,1,4,24,52,14,44,26,10,4,3,1,2,2015-04-29,2018-11-02,2017-03-27,2018-10-16
191317,2,1,1,52,14,20215,1,7,2,59743,86523,1,4,24,52,14,44,26,10,4,3,1,2,2015-04-29,2018-11-02,2017-03-27,2018-10-16
191546,2,1,1,53,25,13651,1,14,3,45174,62370,1,4,23,53,25,45,27,18,1,3,1,2,2015-05-01,2018-11-02,2015-09-11,2018-10-16
191546,2,2,1,53,25,13651,1,14,3,45174,62370,1,4,23,53,25,45,27,18,1,3,1,2,2015-05-01,2018-11-02,2015-09-11,2018-10-16
192062,2,2,1,54,40,22121,3,18,2,34325,52660,1,4,24,54,41,46,28,12,7,3,1,1,2015-04-28,2018-11-02,2015-05-06,2018-10-16
192062,2,1,1,54,40,22121,3,18,2,34325,52660,1,4,24,54,41,46,28,12,7,3,1,1,2015-04-28,2018-11-02,2015-05-06,2018-10-16
192723,6,1,1,55,41,60910,3,17,2,40055,60611,1,14,36,55,42,47,29,34,16,19,1,1,2015-05-18,2018-11-02,2015-05-18,2018-10-16
192756,10,1,1,56,37,13641,6,14,2,81290,114954,1,22,37,56,38,48,2,35,1,20,1,2,2015-05-11,2018-11-02,2015-07-27,2018-10-16
192756,10,2,1,56,37,13641,6,14,2,81290,114954,1,22,37,56,38,48,2,35,1,20,1,2,2015-05-11,2018-11-02,2015-07-27,2018-10-16
192766,2,1,1,57,42,20415,1,11,2,59743,86523,1,4,24,57,43,49,30,36,25,21,1,2,2015-05-14,2018-11-02,2015-05-15,2018-10-16
192766,2,2,1,57,42,20415,1,11,2,59743,86523,1,4,24,57,43,49,30,36,25,21,1,2,2015-05-14,2018-11-02,2015-05-15,2018-10-16
193109,6,1,1,35,24,1002C,3,19,2,53373,72000,1,17,26,58,24,50,31,37,26,1,1,1,2015-05-11,2018-11-02,2015-05-11,2018-10-16
193893,2,1,1,58,8,21744,5,7,2,66575,83555,1,4,24,59,8,51,32,5,10,3,1,1,2015-05-21,2018-11-02,2017-03-27,2018-10-16
193893,2,2,1,58,8,21744,5,7,2,66575,83555,1,4,24,59,8,51,32,5,10,3,1,1,2015-05-21,2018-11-02,2017-03-27,2018-10-16
195805,9,1,8,59,39,12627,3,20,2,59536,88649,1,23,38,60,40,52,33,38,1,1,1,1,2015-05-29,2018-11-02,2015-06-16,2018-10-16
195805,9,2,8,59,39,12627,3,20,2,59536,88649,1,23,38,60,40,52,33,38,1,1,1,1,2015-05-29,2018-11-02,2015-06-16,2018-10-16
197316,6,1,6,60,43,10271,1,10,2,43118,49586,1,17,26,61,44,53,2,39,19,1,1,1,2015-07-22,2018-11-02,2015-07-22,2018-10-16
197355,2,1,1,61,44,10015,7,21,2,198518,198518,1,9,20,62,45,54,2,31,27,3,1,2,2015-06-23,2018-11-02,2015-06-23,2018-10-16
197355,2,2,1,61,44,10015,7,21,2,198518,198518,1,9,20,62,45,54,2,31,27,3,1,2,2015-06-23,2018-11-02,2015-06-23,2018-10-16
197941,5,2,2,62,45,51022,1,22,3,32.11,36.93,2,24,39,63,46,55,34,40,1,22,1,2,2015-07-01,2018-11-02,2015-08-28,2018-10-16
197941,5,1,2,62,45,51022,1,22,3,32.11,36.93,2,24,39,63,46,55,34,40,1,22,1,2,2015-07-01,2018-11-02,2015-08-28,2018-10-16
199170,5,1,1,63,46,51191,5,22,2,41452,52821,1,24,40,64,47,56,2,41,1,23,1,1,2015-07-10,2018-11-02,2015-07-10,2018-10-16
199613,5,1,5,64,47,52613,3,22,2,45037,64034,1,8,41,65,48,57,35,42,1,11,1,1,2015-07-13,2018-11-02,2015-07-13,2018-10-16
199613,5,2,5,64,47,52613,3,22,2,45037,64034,1,8,41,65,48,57,35,42,1,11,1,1,2015-07-13,2018-11-02,2015-07-13,2018-10-16
199768,6,1,1,65,48,56057,3,13,1,33799,56249,1,14,42,66,49,58,2,43,1,12,1,1,2015-07-14,2018-11-02,2015-07-14,2018-10-16
201021,2,1,1,66,49,82989,2,18,2,63519,169427,1,4,24,67,50,59,2,44,28,3,1,1,2015-07-24,2018-11-02,2015-07-24,2018-10-16
201021,2,2,1,66,49,82989,2,18,2,63519,169427,1,4,24,67,50,59,2,44,28,3,1,1,2015-07-24,2018-11-02,2015-07-24,2018-10-16
